x,y,angle
17.34,0.3,1
17.35,0.61,2
17.32,0.91,3
17.3,1.21,4
17.27,1.51,5
17.72,1.86,6
17.7,2.17,7
19.38,2.72,8
19.33,3.06,9
18.33,3.23,10
18.79,3.65,11
47.21,10.03,12
47.37,10.94,13
47.08,11.74,14
47.26,12.66,15
46.64,13.37,16
46.4,14.19,17
46.24,15.02,18
45.96,15.82,19
45.58,16.59,20
45.23,17.36,21
44.92,18.15,22
44.6,18.93,23
44.35,19.75,24
43.91,20.48,25
43.55,21.24,26
43.17,22.0,27
42.78,22.75,28
42.15,23.37,29
41.61,24.02,30
41.09,24.69,31
40.89,25.55,32
40.29,26.17,33
40.17,27.09,34
39.35,27.56,35
38.95,28.3,36
38.71,29.17,37
37.86,29.58,38
37.67,30.5,39
37.15,31.18,40
36.69,31.9,41
35.82,32.25,42
35.17,32.8,43
34.89,33.69,44
34.3,34.3,45
33.74,34.94,46
33.19,35.6,47
32.23,35.79,48
31.86,36.66,49
31.06,37.01,50
30.24,37.35,51
29.78,38.11,52
29.17,38.71,53
28.59,39.35,54
28.16,40.22,55
19.38,28.74,56
8.67,13.34,57
7.74,12.38,58
7.52,12.52,59
7.06,12.23,60
6.9,12.44,61
6.38,12.01,62
6.41,12.59,63
6.19,12.7,64
5.77,12.37,65
5.38,12.08,66
5.37,12.66,67
5.09,12.59,68
4.72,12.3,69
4.51,12.38,70
4.15,12.06,71
4.05,12.47,72
3.71,12.14,73
3.5,12.21,74
3.31,12.36,75
3.1,12.42,76
2.86,12.37,77
2.64,12.4,78
2.42,12.47,79
2.15,12.19,80
1.91,12.07,81
1.7,12.1,82
1.49,12.13,83
1.28,12.16,84
1.07,12.18,85
0.88,12.6,86
0.67,12.73,87
0.44,12.73,88
0.22,12.68,89
-0.0,12.58,90
-0.22,12.58,91
-0.42,12.15,92
-0.64,12.14,93
-0.85,12.13,94
-1.06,12.13,95
-1.27,12.11,96
-1.45,11.81,97
-1.69,12.04,98
-1.92,12.11,99
-2.13,12.07,100
-2.34,12.03,101
-2.55,11.99,102
-2.83,12.26,103
-3.06,12.26,104
-3.27,12.22,105
-3.49,12.16,106
-3.69,12.08,107
-3.78,11.62,108
-4.01,11.65,109
-4.22,11.58,110
-4.53,11.79,111
-4.74,11.73,112
-4.84,11.39,113
-5.17,11.6,114
-5.37,11.51,115
-5.57,11.41,116
-5.81,11.41,117
-6.01,11.3,118
-6.39,11.52,119
-6.59,11.41,120
-6.79,11.29,121
-6.98,11.17,122
-7.41,11.41,123
-7.69,11.4,124
-7.83,11.18,125
-8.02,11.04,126
-8.76,11.62,127
-8.96,11.47,128
-8.95,11.06,129
-10.2,12.15,130
-10.13,11.65,131
-9.67,10.74,132
-42.33,45.39,133
-312.6,323.7,134
-318.2,318.2,135
-323.7,312.6,136
-329.11,306.9,137
-334.42,301.11,138
-339.62,295.23,139
-344.72,289.25,140
-349.72,283.19,141
-354.6,277.05,142
-51.66,38.93,143
-52.33,38.02,144
-53.33,37.35,145
-187.78,126.66,146
-190.09,123.45,147
-192.58,120.34,148
-195.09,117.22,149
-195.18,112.68,150
-72.5,40.19,151
-199.23,105.93,152
-202.53,103.2,153
-66.07,32.22,154
-203.82,95.04,155
-205.9,91.67,156
-207.77,88.19,157
-208.88,84.39,158
-210.53,80.81,159
-211.59,77.01,160
-116.1,39.98,161
-115.86,37.65,162
-115.51,35.31,163
-10.2,2.92,164
-9.84,2.64,165
-10.71,2.67,166
-9.46,2.18,167
-9.91,2.11,168
-9.48,1.84,169
-9.51,1.68,170
-9.12,1.44,171
-9.56,1.34,172
-9.21,1.13,173
-9.23,0.97,174
-8.84,0.77,175
-9.26,0.65,176
-9.2,0.48,177
-8.44,0.29,178
-8.7,0.15,179
-8.7,-0.0,180
-20.45,-0.36,181
-43.95,-1.53,182
-82.08,-4.3,183
-41.97,-2.94,184
-94.47,-8.26,185
-389.62,-40.95,186
-446.65,-54.84,187
-445.62,-62.63,188
-35.9,-5.69,189
-35.49,-6.26,190
-35.19,-6.84,191
-440.17,-93.56,192
-438.47,-101.23,193
-436.63,-108.86,194
-434.67,-116.47,195
-7.16,-2.05,196
-7.97,-2.44,197
-7.7,-2.5,198
-7.14,-2.46,199
-7.83,-2.85,200
-8.16,-3.13,201
-9.28,-3.75,202
-294.32,-124.93,203
-291.71,-129.88,204
-407.84,-190.18,205
-404.46,-197.27,206
-51.0,-25.99,207
-56.54,-30.06,208
-393.58,-218.16,209
-278.18,-160.61,210
-385.73,-231.77,211
-66.3,-41.43,212
-268.61,-174.44,213
-264.65,-178.51,214
-261.76,-183.29,215
-259.88,-188.82,216
-359.39,-270.82,217
-354.6,-277.05,218
-349.72,-283.19,219
-344.72,-289.25,220
-262.23,-227.96,221
-334.42,-301.11,222
-329.11,-306.9,223
-323.7,-312.6,224
-318.2,-318.2,225
-312.6,-323.7,226
-306.9,-329.11,227
-301.11,-334.42,228
-295.23,-339.62,229
-289.25,-344.72,230
-219.47,-271.02,231
-277.05,-354.6,232
-270.82,-359.39,233
-264.5,-364.06,234
-258.11,-368.62,235
-251.64,-373.07,236
-27.62,-42.53,237
-26.4,-42.26,238
-26.1,-43.44,239
-25.33,-43.87,240
-23.93,-43.16,241
-23.02,-43.29,242
-22.47,-44.11,243
-21.02,-43.09,244
-20.26,-43.45,245
-19.64,-44.12,246
-19.1,-44.99,247
-17.97,-44.48,248
-17.19,-44.79,249
-16.55,-45.48,250
-15.79,-45.86,251
-14.81,-45.58,252
-14.01,-45.83,253
-13.1,-45.67,254
-9.75,-36.37,255
-9.24,-37.05,256
-8.59,-37.19,257
-7.58,-35.65,258
-7.04,-36.2,259
-6.4,-36.31,260
-5.77,-36.4,261
-5.19,-36.92,262
-4.54,-37.0,263
-3.89,-36.98,264
-3.25,-37.14,265
-2.54,-36.31,266
-1.88,-35.94,267
-1.24,-35.53,268
-0.63,-35.97,269
0.0,-35.87,270
0.62,-35.54,271
1.25,-35.85,272
1.88,-35.92,273
2.51,-35.88,274
3.14,-35.84,275
3.76,-35.77,276
4.33,-35.3,277
4.95,-35.22,278
5.62,-35.51,279
6.18,-35.02,280
6.99,-35.95,281
7.61,-35.82,282
10.45,-45.27,283
11.15,-44.72,284
12.0,-44.78,285
12.89,-44.96,286
13.75,-44.97,287
14.53,-44.72,288
15.33,-44.52,289
16.0,-43.95,290
16.76,-43.66,291
17.64,-43.66,292
18.23,-42.96,293
19.15,-43.0,294
19.89,-42.66,295
20.67,-42.37,296
21.4,-42.0,297
22.18,-41.71,298
23.1,-41.68,299
23.57,-40.83,300
24.52,-40.82,301
25.01,-40.02,302
25.8,-39.72,303
26.48,-39.26,304
27.32,-39.02,305
28.12,-38.7,306
28.79,-38.21,307
29.61,-37.9,308
30.82,-38.06,309
31.48,-37.52,310
32.14,-36.98,311
33.66,-37.38,312
34.04,-36.5,313
71.09,-73.62,314
73.25,-73.25,315
74.17,-71.62,316
75.59,-70.49,317
76.37,-68.76,318
78.51,-68.25,319
80.83,-67.83,320
79.48,-64.36,321
80.98,-63.27,322
82.09,-61.86,323
84.89,-61.67,324
83.79,-58.67,325
86.79,-58.54,326
86.2,-55.98,327
88.62,-55.38,328
