x,y,angle
449.93,7.85,1
449.73,15.7,2
195.74,10.26,3
448.9,31.39,4
448.29,39.22,5
286.89,30.15,6
446.65,54.84,7
445.62,62.63,8
310.59,49.19,9
443.16,78.14,10
441.73,85.86,11
72.35,15.38,12
72.44,16.72,13
70.45,17.57,14
72.2,19.35,15
71.84,20.6,16
71.08,21.73,17
72.24,23.47,18
69.81,24.04,19
69.23,25.2,20
68.23,26.19,21
67.76,27.38,22
66.79,28.35,23
67.96,30.26,24
67.42,31.44,25
66.77,32.57,26
65.84,33.55,27
65.08,34.61,28
64.25,35.61,29
64.43,37.2,30
63.04,37.88,31
226.11,141.29,32
223.68,145.26,33
220.78,148.92,34
216.75,151.77,35
48.15,34.98,36
47.87,36.07,37
46.9,36.64,38
46.98,38.04,39
45.31,38.02,40
44.96,39.08,41
44.51,40.07,42
43.6,40.66,43
43.31,41.83,44
41.94,41.94,45
41.95,43.44,46
40.9,43.86,47
40.34,44.8,48
39.83,45.82,49
38.19,45.51,50
37.19,45.92,51
37.44,47.92,52
36.85,48.9,53
35.99,49.54,54
34.53,49.31,55
33.21,49.23,56
32.7,50.36,57
103.37,165.43,58
99.33,165.32,59
96.69,167.47,60
94.52,170.53,61
91.64,172.35,62
87.54,171.81,63
84.65,173.56,64
81.5,174.78,65
78.78,176.94,66
75.74,178.43,67
72.24,178.79,68
70.05,182.48,69
66.1,181.6,70
63.36,184.01,71
59.56,183.3,72
56.53,184.89,73
53.27,185.79,74
50.04,186.77,75
46.65,187.1,76
43.6,188.87,77
40.19,189.1,78
36.96,190.16,79
33.64,190.79,80
30.39,191.87,81
26.91,191.44,82
23.62,192.39,83
20.29,193.04,84
20.48,234.13,85
13.55,193.75,86
10.19,194.47,87
6.79,194.43,88
4.12,235.87,89
-0.0,233.61,90
-4.09,234.34,91
-8.14,233.11,92
-12.21,232.92,93
-16.4,234.55,94
-20.49,234.16,95
-24.5,233.15,96
-28.54,232.45,97
-32.59,231.91,98
-36.7,231.71,99
-40.73,230.97,100
-44.88,230.89,101
-48.85,229.84,102
-52.76,228.54,103
-56.76,227.65,104
-60.6,226.15,105
-64.7,225.63,106
-68.46,223.91,107
-72.89,224.33,108
-76.55,222.32,109
-80.24,220.47,110
-84.39,219.84,111
-87.99,217.79,112
-91.88,216.47,113
-95.86,215.31,114
-99.57,213.53,115
-103.1,211.38,116
-107.11,210.21,117
-110.84,208.46,118
-115.49,208.35,119
-129.21,223.8,120
-132.85,221.1,121
-138.12,221.04,122
-140.75,216.74,123
-145.48,215.69,124
-149.11,212.95,125
-151.97,209.17,126
-155.81,206.76,127
-159.54,204.2,128
-162.36,200.5,129
-97.11,115.73,130
-98.37,113.16,131
-101.23,112.43,132
-102.61,110.03,133
-104.68,108.4,134
-106.13,106.13,135
-107.17,103.5,136
-42.0,39.16,137
-41.7,37.55,138
-42.28,36.75,139
-43.63,36.61,140
-44.26,35.84,141
-43.77,34.19,142
-44.44,33.49,143
-44.67,32.46,144
-45.23,31.67,145
-46.47,31.34,146
-46.37,30.11,147
-46.97,29.35,148
-47.26,28.39,149
-47.55,27.45,150
-47.89,26.55,151
-48.24,25.65,152
-48.79,24.86,153
-49.22,24.0,154
-49.61,23.13,155
-50.41,22.44,156
-50.4,21.4,157
-51.16,20.67,158
-51.02,19.59,159
-51.84,18.87,160
-51.77,17.83,161
-51.82,16.84,162
-51.88,15.86,163
-52.39,15.02,164
-52.64,14.11,165
-53.48,13.33,166
-53.75,12.41,167
-54.43,11.57,168
-54.62,10.62,169
-55.21,9.74,170
-54.86,8.69,171
-54.7,7.69,172
-54.82,6.73,173
-56.22,5.91,174
-55.02,4.81,175
-55.22,3.86,176
-55.38,2.9,177
-57.56,2.01,178
-57.49,1.0,179
-148.85,-0.0,180
